# Synonym replacements applied IN ORDER before matching.
# Format: <source><TAB><target>.  Empty target = delete the source phrase.
# ORDER MATTERS (sequential replace). Provenance: MATCHER_CHANGES.txt.

wholegrain mustard	mustard
wholemeal puff pastry	puff pastry
wholegrain puff pastry	puff pastry
wholemeal couscous	couscous
wholegrain couscous	couscous
whole wheat couscous	couscous
wholemeal spelt flour	pearled spelt
wholegrain spelt flour	pearled spelt
whole wheat spelt flour	pearled spelt
whole-wheat spelt flour	pearled spelt
spelt flour	pearled spelt
pitta bread	pita bread
wholemeal pitta bread	pita bread
wholegrain pitta bread	pita bread
pitta	pita
whole wheat noodles	grain noodles
wholemeal noodles	grain noodles
wholegrain noodles	grain noodles
wholemeal pizza dough	bread roll
wholegrain pizza dough	bread roll
wholewheat pizza dough	bread roll
whole wheat pizza dough	bread roll
whole wheat pastry dough	bread roll
pizza dough	bread roll
pastry dough	bread roll
wholemeal pizza flour	flour, wheat
wholegrain pizza flour	flour, wheat
whole wheat pizza flour	flour, wheat
manicotti pasta tubes	pasta, plain
wholegrain bagels	bagels
wholemeal bagels	bagels
whole wheat bagels	bagels
whole grain bagels	bagels
wholegrain bagel	bagels
wholemeal bagel	bagels
whole wheat bagel	bagels
whole grain bagel	bagels
wholemeal bread, average	bread wholemeal
wholemeal bread, untoasted	bread wholemeal
whole wheat bread	bread wholemeal
emmentaler	cheese swiss
emmenthal	cheese swiss
emmental	cheese swiss
hot sauce, buffalo style	sriracha
hot sauce, buffalo	sriracha
hot sauce, ready-to-use	sriracha
hot sauce, ready	sriracha
hot sauce, frank's redhot or similar	sriracha
hot sauce, frank's	sriracha
hot sauce	sriracha
wholegrain slider buns	bread roll
wholemeal slider buns	bread roll
whole wheat slider buns	bread roll
whole grain slider buns	bread roll
instant polenta	cornmeal
wholemeal cornmeal	cornmeal
wholegrain cornmeal	cornmeal
wholemeal lasagna pasta	pasta, plain
wholegrain lasagna pasta	pasta, plain
self-raising flour, wholemeal	wheat flour, wholemeal
self-raising flour, whole wheat	wheat flour, wholemeal
self-raising flour, wholegrain	wheat flour, wholemeal
self-raising flour	wheat flour
self raising flour	wheat flour
wholemeal self-raising flour	wholemeal flour
wholegrain self-raising flour	wholemeal flour
whole wheat self-raising flour	wholemeal flour
wholemeal english muffins	bread roll
wholegrain english muffins	bread roll
wheat english muffins	bread roll
wheat english muffin	bread roll
english muffins	bread roll
english muffin	bread roll
wholemeal shortcrust pie crust	puff pastry
wholegrain pie crust	puff pastry
wholemeal pie crust	puff pastry
whole wheat pie crust	puff pastry
wholemeal pastry crust	puff pastry
wholegrain pastry crust	puff pastry
whole wheat pie dough	puff pastry
pie crust	puff pastry
pie dough	puff pastry
monterey jack cheese	cheese cheddar
monterey jack	cheese cheddar
blue cheese, roquefort type	cheese blue mold
roquefort type cheese	cheese blue mold
blue cheese, roquefort	cheese blue mold
blue cheese	cheese blue mold
feta cheese, from cow	cheese feta
cheese, swiss type	cheese swiss
cheese, light, cheddar type	cheese cheddar
white cheddar cheese	cheese cheddar
cheddar cheese, light	cheese cheddar
corn tortillas, 6 inch	tortilla, corn
corn tortillas, 8 inch	tortilla, corn
white whole wheat flour	wholemeal flour
whole wheat fusilli pasta	pasta, plain
wholemeal fusilli pasta	pasta, plain
fusilli pasta	pasta, plain
whole wheat ricotta and spinach ravioli	pasta, plain
wholemeal ricotta and spinach ravioli	pasta, plain
whole wheat empanada discs	puff pastry
empanada discs	puff pastry
empanada disc	puff pastry
whole wheat graham crackers	crackers, graham
wholemeal oat biscuits	oatmeal
oat biscuits	oatmeal
tortilla chips, lightly salted	tortilla chips
tortilla chips, lightly	tortilla chips
wholemeal bread	bread wholemeal
low-fat cheese, grated	cheese cheddar
low fat cheese, grated	cheese cheddar
low-fat ricotta cheese	ricotta
low fat ricotta cheese	ricotta
low-fat ricotta	ricotta
low fat ricotta	ricotta
low-fat cream cheese	cream cheese
low fat cream cheese	cream cheese
light cream cheese	cream cheese
spaghetti, wholemeal	pasta, plain
pasta, wholemeal	pasta, plain
graham crackers, wholemeal	crackers, graham
graham crackers, whole	crackers, graham
wasabi paste	wasabi
wasabi	wasabi
tomato paste, concentrated	tomato puree
tomato paste	tomato puree
palm sugar or brown sugar	sugar, brown
palm sugar	sugar, brown
coconut sugar	sugar, brown
pumpkin seeds, hulled	seeds, pumpkin
pumpkin seeds, hulled, roasted	seeds, pumpkin
pumpkin seeds	seeds, pumpkin
pumpkin seed	seeds, pumpkin
pumpkin puree, canned or cooked	pumpkin, butternut
pumpkin puree, cooked	pumpkin, butternut
snow peas	peas, sugar snap
snow pea	peas, sugar snap
graham crackers, whole wheat	crackers, graham
graham crackers, regular	crackers, graham
graham crackers	crackers, graham
graham cracker	crackers, graham
wholemeal crackers, graham	crackers, graham
spring roll pastry sheets	pasta, plain
spring roll pastry	pasta, plain
dumpling wrappers, store-bought	pasta, plain
dumpling wrappers, round, wheat-based	pasta, plain
dumpling wrappers, round, white wheat	pasta, plain
dumpling wrappers, round, wheat	pasta, plain
dumpling wrappers, wheat flour	pasta, plain
dumpling wrappers, wheat-based	pasta, plain
dumpling wrappers, whole wheat	pasta, plain
dumpling wrappers, round	pasta, plain
dumpling wrappers	pasta, plain
dumpling wrapper	pasta, plain
egg roll wrappers	pasta, plain
egg roll wrapper	pasta, plain
wonton wrappers	pasta, plain
wonton wrapper	pasta, plain
spring roll wrappers	pasta, plain
spring roll wrapper	pasta, plain
almond milk, unsweetened	almond based beverage
unsweetened almond milk	almond based beverage
almond milk	almond based beverage
milk, almond	almond based beverage
plant-based milk, oat, fortified	oat based beverage
plant-based milk, oat	oat based beverage
plant-based oat milk	oat based beverage
oat milk, unsweetened	oat based beverage
oat milk	oat based beverage
oat drink	oat based beverage
bean sprouts	mung bean
bean sprout	mung bean
instant yeast	bakers yeast
active dry yeast	bakers yeast
dry yeast	bakers yeast
fast action yeast	bakers yeast
fast-action yeast	bakers yeast
quick yeast	bakers yeast
chilli flakes	pepper chili red
chilli powder	chili powder
chilli paste	pepper chili red
chili paste	pepper chili red
chilli	chili
salsa verde, tomatillo-based	tomatillos
green salsa verde	tomatillos
tomatillo salsa	tomatillos
salsa verde	tomatillos
olive oil spread	margarine
wheat burger buns	bread roll
wheat burger bun	bread roll
wheat buns	bread roll
wheat bun	bread roll
whole grain buns	bread roll
whole grain bun	bread roll
whole grain burger buns	bread roll
wholemeal buns	bread roll
wholemeal bun	bread roll
burger buns, wholemeal	bread roll
burger buns, whole grain	bread roll
wholemeal hamburger buns	bread roll
wholemeal hamburger bun	bread roll
wholegrain hamburger buns	bread roll
whole wheat hamburger buns	bread roll
hamburger buns	bread roll
hamburger bun	bread roll
burger buns	bread roll
burger bun	bread roll
hot dog buns	bread roll
hot dog bun	bread roll
wholemeal pastry flour	wholemeal flour
pastry flour, whole wheat	wholemeal flour
whole wheat pastry flour	wholemeal flour
corn tortillas, whole grain	tortilla, corn
corn tortillas, cut into triangles	tortilla, corn
corn tortillas, 6-inch	tortilla, corn
corn tortillas, yellow, small	tortilla, corn
corn tortilla, yellow	tortilla, corn
corn tortillas, medium size	tortilla, corn
corn tortillas	tortilla, corn
corn tortilla	tortilla, corn
whole wheat tortillas	tortilla, wheat flour
whole wheat tortilla	tortilla, wheat flour
wholemeal tortillas	tortilla, wheat flour
wholemeal tortilla	tortilla, wheat flour
flour tortillas	tortilla, wheat flour
flour tortilla	tortilla, wheat flour
whole wheat spaghetti	pasta, plain
whole wheat pasta	pasta, plain
whole grain spaghetti	pasta, plain
whole grain pasta	pasta, plain
wholemeal spaghetti	pasta, plain
spaghetti squash	squash, winter
spaghetti	pasta, plain
macaroni	pasta, plain
egg whites, raw	egg white
egg white, raw	egg white
egg whites	egg white
almond butter	almond spread
lemon, cut into wedges for serving	lemon juice
lemon, cut into wedges	lemon juice
lemon, cut into quarters	lemon juice
lemon, cut in half	lemon juice
lemon, zested and juiced	lemon juice
lemon, juiced and zested	lemon juice
lemon, zest only	lemon peel
lemon, zested	lemon peel
lemon, juiced	lemon juice
lemon, fresh	lemon juice
whey protein powder, vanilla	protein powder whey
whey protein powder, unflavored	protein powder whey
whey protein powder, chocolate	protein powder whey
whey protein powder	protein powder whey
protein powder	protein powder whey
dark chocolate, minimum 70%	chocolate, dark
dark chocolate, minimum 70	chocolate, dark
head green cabbage	cabbage
head cabbage	cabbage
salsa, store-bought, mild	tomato
salsa, mild, chunky	tomato
salsa, store-bought	tomato
green peas, frozen	peas
peas, green, frozen	peas
peas, green	peas, green
green peas	peas, green
frozen peas	peas
peas, frozen	peas
garden peas	peas, green
fresh peas	peas, green
rolled oats, whole grain	oats, rolled
whole grain rolled oats	oats, rolled
whole grain oats	oats, rolled
fresh flat-leaf parsley	parsley, herb
fresh flat leaf parsley	parsley, herb
flat-leaf parsley	parsley, herb
flat leaf parsley	parsley, herb
chopped fresh parsley	parsley, herb
fresh parsley	parsley, herb
dried parsley	parsley, herb
parsley, fresh	parsley, herb
parsley, dried	parsley, herb
