food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
"Egg noodles, uncooked",,,,,,,,,,,85.0
"Noodles, without egg, cooked",,,,,,,,,,,180.0
"Noodles, without egg, uncooked",,,,,,,,,,,85.0
"Pasta, cooked",,,,,,,,,,,195.0
"Pasta, uncooked",decilitre,dl,,,,,30.0,,,,75.0
"Rice, cooked",,,,,,,,,,,160.0
"Rice, uncooked",decilitre,dl,,,,,80.0,,,,55.0
"Spaghetti, cooked",,,,,,,,,,,195.0
"Spaghetti, uncooked",,,,,,,,,,,65.0
Corn flakes,,,14.0,,3.0,,,,,,35.0
"Corn flakes, sweetened, Frosties",,,16.0,,3.0,,,,,,35.0
"Breakfast cereal, chocolate flavored",,,15.0,,3.0,,,,,,35.0
Oat pillows,,,12.0,,2.5,,,,,,35.0
Muesli,,,50.0,,7.0,,,,,,100.0
Puffed oats,,,9.0,,2.0,,,,,,35.0
Puffed wheat,,,9.0,,2.0,,,,,,35.0
"Puffed wheat, with sugar and honey, Honnikorn",,,13.0,,2.5,,,,,,35.0
Puffed rice,,,9.0,,2.0,,,,,,35.0
"Breakfast cereal with oats, fruit and oil, Crüsli",,,40.0,,6.0,,,,,,100.0
"Breakfast cereal with wheat and rice, Special K",,,20.0,,3.5,,,,,,35.0
"Breakfast cereal, All-bran regular",,,18.0,,3.5,,,,,,35.0
"Breakfast cereal, All-bran plus",,,25.0,,4.0,,,,,,35.0
"Bread, extra coarse",medium slice,slice,,,,,45.0,,,,
"Bread, coarse",medium slice,slice,,,,,45.0,,,,
"Bread, semi-coarse",medium slice,slice,,,,,45.0,,,,
"Gluten-free bread, fine",medium slice,slice,,,,,40.0,,,,
"Gluten-free bread, coarse",medium slice,slice,,,,,45.0,,,,
"Bread, white",medium slice,slice,,,,,50.0,,,,
"Bread, extra coarse",medium slice,slice,,,,,50.0,,,,
"Bread, coarse",medium slice,slice,,,,,40.0,,,,
"Bread, semi-coarse",medium slice,slice,,,,,40.0,,,,
"Bread, white, square-shaped",medium slice,slice,,,,,40.0,,,,
"Bread, white, spirally shaped",medium slice,slice,,,,,30.0,,,,
Pumpernickel,medium slice,slice,,,,,40.0,,,,
"Bread, rye, coarse",medium slice,slice,,,,,60.0,,,,
"Rolls, white",one,piece,,,,,45.0,,,,
"Rolls, coarse",one,piece,,,,,70.0,,,,
"Baguette, half-baked",one,piece,,,,,75.0,,,,
Hamburger bun,one,piece,,,,,80.0,,,,
Potato soft flatbread,one,piece,,,,,25.0,,,,
Pita bread,one,piece,,,,,75.0,,,,
Pizza crust,one,piece,,,,,550.0,,,,
Hot dog bun,one,piece,,,,,30.0,,,,
"Rolls, fine",one,piece,,,,,85.0,,,,
"Rolls, coarse",one,piece,,,,,70.0,,,,
"Tortilla, wheat flour",one,piece,,,,,40.0,,,,
"Tortilla, wheat flour, wholemeal",one,piece,,,,,40.0,,,,
"Tortilla, corn flour",one,piece,,,,,40.0,,,,
"Flatbread, hard",one,piece,,,,,4.0,,,,
"Flatbread, hard, with oats",one,piece,,,,,5.0,,,,
Gluten-free crisp bread,one,piece,,,,,13.0,,,,
"Gluten-free crisp bread, home made",one,piece,,,,,13.0,,,,
"Crisp bread, light",one,piece,,,,,14.0,,,,
"Crisp bread, with extra fiber",one,piece,,,,,11.0,,,,
